PlayDate,No1,No2,No3,No4,No5,No6,Bonus,Jackpot
2020-04-25,12,13,29,35,37,44,27,189.0
2020-04-18,1,9,11,21,39,43,23,0.0
2020-04-11,2,5,21,32,34,41,10,0.0
2020-04-04,23,24,26,30,33,40,41,0.0
2020-03-28,13,14,22,36,41,45,30,0.0
2020-03-21,7,10,25,27,29,44,6,0.0
2020-03-14,4,7,33,40,44,45,42,0.0
2020-03-07,1,10,17,29,30,37,19,0.0
2020-02-29,2,21,25,28,39,44,41,0.0
2020-02-22,4,8,16,26,30,43,36,0.0
2020-02-15,19,24,35,41,42,43,34,0.0
2020-02-08,2,14,17,22,33,35,18,0.0
2020-02-01,13,14,21,23,35,45,29,0.0
2020-01-25,2,9,33,34,36,43,44,0.0
2020-01-18,4,6,16,17,22,26,10,0.0
2020-01-11,13,14,28,29,37,39,36,0.0
2020-01-04,6,11,18,26,29,40,33,0.0
2019-12-28,3,4,6,10,36,44,32,0.0
2019-12-21,6,13,25,37,42,43,9,0.0
2019-12-14,7,16,33,34,36,42,22,0.0
2019-12-07,10,16,26,28,31,41,12,0.0
2019-11-30,3,31,35,38,41,45,7,0.0
2019-11-23,8,9,17,36,38,43,1,0.0
2019-11-16,2,18,22,28,29,40,42,0.0
2019-11-09,3,14,23,27,38,39,26,0.0
2019-11-02,2,9,17,18,28,29,38,0.0
2019-10-26,2,8,9,11,17,19,44,0.0
2019-10-19,5,17,34,37,39,44,9,0.0
2019-10-12,11,18,23,38,40,42,25,0.0
2019-10-05,2,3,5,14,22,33,41,0.0
2019-09-28,9,16,27,32,41,43,1,0.0
2019-09-21,11,21,29,39,40,41,1,0.0
2019-09-14,4,11,14,15,30,36,34,0.0
2019-09-07,3,13,15,18,23,34,41,0.0
2019-08-31,4,11,20,31,39,40,35,0.0
2019-08-24,10,24,26,33,43,45,1,0.0
2019-08-17,8,18,27,29,33,36,35,0.0
2019-08-10,3,11,24,28,34,35,25,0.0
2019-08-03,8,13,17,33,34,40,7,0.0
2019-07-27,13,15,21,24,42,43,28,0.0
2019-07-20,4,5,16,26,32,41,2,0.0
2019-07-13,6,12,16,28,39,45,44,0.0
2019-07-06,1,15,20,29,42,45,31,0.0
2019-06-29,1,10,12,15,19,28,30,0.0
2019-06-22,1,12,18,20,24,44,41,0.0
2019-06-15,1,5,20,28,31,36,17,0.0
2019-06-08,1,5,15,36,38,40,41,0.0
2019-06-01,7,8,28,37,39,44,17,0.0
2019-05-25,3,7,11,21,29,34,26,0.0
2019-05-18,1,2,9,11,12,42,5,0.0
2019-05-11,11,13,18,25,34,42,19,0.0
2019-05-04,4,8,21,36,44,45,5,0.0
