PlayDate,No1,No2,No4,No3,No5,No6,Bonus,Jackpot
1982-06-12,3,11,14,12,41,43,13,0.0
1982-06-19,8,33,37,36,39,41,9,0.0
1982-06-26,1,6,24,23,27,39,34,0.0
1982-07-03,3,9,13,10,20,43,34,0.0
1982-07-10,5,14,31,21,34,47,45,0.0
1982-07-17,8,20,25,21,31,41,33,0.0
1982-07-24,18,25,33,28,36,42,7,0.0
1982-07-31,7,16,31,17,40,48,26,0.0
1982-08-07,5,10,27,23,37,38,33,0.0
1982-08-14,4,15,37,30,46,48,3,0.0
1982-08-21,7,9,33,21,38,42,45,0.0
1982-08-28,11,17,20,19,36,43,9,0.0
1982-09-04,7,14,20,17,37,47,34,0.0
1982-09-11,25,28,30,29,35,44,3,0.0
1982-09-18,8,18,39,36,41,47,31,0.0
1982-09-25,9,12,14,13,44,48,18,0.0
1982-10-02,4,14,40,18,43,44,5,0.0
1982-10-09,13,16,34,18,35,36,26,0.0
1982-10-16,11,23,28,25,29,36,27,0.0
1982-10-23,7,18,25,23,37,45,39,0.0
1982-10-30,11,18,31,19,37,45,41,0.0
1982-11-06,8,14,18,16,31,48,45,0.0
1982-11-13,4,11,24,23,25,45,41,0.0
1982-11-20,3,4,33,19,34,48,39,0.0
1982-11-27,5,17,28,21,30,43,36,0.0
1982-12-04,6,17,36,24,38,46,29,0.0
1982-12-11,4,9,11,10,43,46,3,0.0
1982-12-18,7,13,32,23,33,45,36,0.0
1982-12-25,11,18,28,22,35,37,42,0.0
1983-01-01,25,26,35,31,45,48,12,0.0
1983-01-08,11,19,31,25,32,36,44,0.0
1983-01-15,8,34,39,37,41,47,18,0.0
1983-01-22,5,10,35,30,36,45,13,0.0
1983-01-29,8,22,27,26,34,42,14,0.0
1983-02-05,3,5,33,6,38,39,8,0.0
1983-02-12,10,14,31,25,44,47,17,0.0
1983-02-19,11,13,16,15,24,31,9,0.0
1983-02-26,11,12,25,19,29,44,48,0.0
1983-03-05,2,7,22,21,30,33,3,0.0
1983-03-12,11,15,38,25,41,43,37,0.0
1983-03-19,2,10,31,11,43,49,29,0.0
1983-03-26,21,24,32,25,39,49,40,0.0
1983-04-02,4,10,38,23,41,46,43,0.0
1983-04-09,20,24,35,28,42,46,27,0.0
1983-04-16,1,3,31,19,32,47,37,0.0
1983-04-23,3,17,30,20,35,48,26,0.0
1983-04-30,18,26,35,29,36,49,25,0.0
1983-05-07,2,13,42,41,44,47,12,0.0
1983-05-14,7,10,16,11,28,40,6,0.0
1983-05-21,6,7,32,10,36,38,46,0.0
1983-05-28,2,29,40,31,45,48,41,0.0
1983-06-04,4,14,31,24,33,35,29,0.0
1983-06-11,7,19,28,26,45,49,34,0.0
1983-06-18,9,19,36,28,45,46,3,0.0
1983-06-25,4,11,20,14,26,30,39,0.0
1983-07-02,5,9,39,27,40,43,17,0.0
1983-07-09,16,19,29,22,44,48,31,0.0
1983-07-16,11,14,31,18,35,49,42,0.0
1983-07-23,22,23,26,25,35,41,39,0.0
1983-07-30,3,6,33,7,34,36,15,0.0
1983-08-06,9,11,28,27,37,46,29,0.0
1983-08-13,1,2,23,8,46,48,20,0.0
1983-08-20,9,12,21,20,37,43,49,0.0
1983-08-27,9,16,20,18,26,43,38,0.0
1983-09-03,1,6,15,13,22,27,10,0.0
1983-09-10,23,30,33,32,35,44,2,0.0
1983-09-17,9,21,29,22,48,49,28,0.0
1983-09-24,1,6,34,15,42,44,49,0.0
1983-10-01,1,15,22,20,24,49,40,0.0
1983-10-08,13,23,43,37,48,49,27,0.0
1983-10-15,2,3,26,23,27,40,4,0.0
1983-10-22,8,14,32,25,34,35,16,0.0
1983-10-29,1,5,8,7,11,13,3,0.0
1983-11-05,18,20,26,23,33,49,31,0.0
1983-11-12,1,2,13,7,22,31,5,0.0
1983-11-19,4,14,30,16,33,38,22,0.0
1983-11-26,3,12,21,16,33,49,44,0.0
1983-12-03,3,5,26,19,32,43,30,0.0
1983-12-10,1,14,25,22,40,42,19,0.0
1983-12-17,7,9,28,20,35,41,16,0.0
1983-12-24,1,2,21,13,42,48,7,0.0
1983-12-31,7,22,27,25,30,35,45,0.0
1984-01-07,1,7,31,14,41,43,12,0.0
1984-01-14,2,12,31,29,44,46,40,0.0
1984-01-21,1,5,24,14,25,38,27,0.0
1984-01-28,15,24,32,27,34,49,25,0.0
1984-02-04,20,26,30,28,45,48,25,0.0
1984-02-11,22,29,44,36,46,47,24,0.0
1984-02-18,4,12,31,16,44,48,41,0.0
1984-02-25,23,27,43,40,44,47,33,0.0
1984-03-03,13,26,38,27,46,47,6,0.0
1984-03-10,2,17,42,41,44,47,29,0.0
1984-03-17,6,26,36,28,37,48,23,0.0
1984-03-24,8,27,29,28,43,44,15,0.0
1984-03-31,12,19,23,22,29,36,25,0.0
1984-04-07,13,27,38,35,44,47,21,0.0
1984-04-14,3,12,33,31,45,49,6,0.0
1984-04-21,8,13,18,16,19,49,11,0.0
1984-04-28,16,24,28,25,32,44,2,0.0
1984-05-05,1,5,18,6,31,35,3,0.0
1984-05-12,6,16,20,19,25,43,40,0.0
1984-05-19,1,4,17,14,21,26,31,0.0
1984-05-26,1,3,43,40,45,46,7,0.0
