PlayDate,No1,No2,No4,No3,No5,No6,No7,Bonus,Jackpot
2009-09-25,5,17,25,19,31,38,46,4,0.0
2009-10-02,8,27,29,28,31,32,35,11,0.0
2009-10-09,5,15,38,25,42,46,47,26,0.0
2009-10-16,4,10,20,18,31,35,44,29,0.0
2009-10-23,4,7,12,10,23,25,36,18,0.0
2009-10-30,6,9,14,10,17,18,19,46,0.0
2009-11-06,2,7,11,8,16,17,18,12,0.0
2009-11-13,8,18,28,27,38,41,48,36,0.0
2009-11-20,2,8,30,28,36,39,42,24,0.0
2009-11-27,11,15,26,24,37,38,43,17,0.0
2009-12-04,1,6,19,13,32,35,40,7,0.0
2009-12-11,1,4,7,5,22,29,48,13,0.0
2009-12-18,8,10,17,15,33,34,35,13,0.0
2009-12-25,8,9,13,12,29,30,31,47,0.0
2010-01-01,7,9,18,13,27,33,44,15,0.0
2010-01-08,8,17,23,21,24,28,39,31,0.0
2010-01-15,12,17,30,22,34,43,49,48,0.0
2010-01-22,17,26,32,30,34,39,41,49,0.0
2010-01-29,16,17,24,22,40,41,47,45,0.0
2010-02-05,10,19,29,25,39,41,42,21,0.0
2010-02-12,9,12,23,17,34,42,47,37,0.0
2010-02-19,4,23,32,27,35,43,47,24,0.0
2010-02-26,2,27,32,30,35,36,38,39,0.0
2010-03-05,5,8,22,18,32,39,45,19,0.0
2010-03-12,17,18,21,19,32,40,49,6,0.0
2010-03-19,1,3,34,6,37,42,45,27,0.0
2010-03-26,3,11,16,12,34,36,37,18,0.0
2010-04-02,4,9,15,12,28,29,43,17,0.0
2010-04-09,11,16,30,29,31,33,42,24,0.0
2010-04-16,6,7,20,17,32,44,49,46,0.0
2010-04-23,8,11,21,16,24,28,41,37,0.0
2010-04-30,1,3,5,4,16,32,33,41,0.0
2010-05-07,3,6,14,10,19,25,33,1,0.0
2010-05-14,7,17,23,19,31,36,41,1,0.0
2010-05-21,14,16,35,30,36,45,49,10,0.0
2010-05-28,11,18,24,23,27,28,39,1,0.0
2010-06-04,3,18,30,27,33,40,45,31,0.0
2010-06-11,2,7,25,12,29,32,35,26,0.0
2010-06-18,5,6,29,26,34,36,43,49,0.0
2010-06-25,5,22,31,28,39,46,48,4,0.0
2010-07-02,9,19,26,25,29,30,44,33,0.0
2010-07-09,9,10,24,19,28,30,31,46,0.0
2010-07-16,10,14,34,26,43,47,48,28,0.0
2010-07-23,17,19,29,26,34,35,38,47,0.0
2010-07-30,5,7,40,11,41,47,48,6,0.0
2010-08-06,1,5,32,6,36,38,44,29,0.0
2010-08-13,19,25,29,27,30,36,46,25,0.0
2010-08-20,4,5,8,7,18,30,35,39,0.0
2010-08-27,3,14,27,26,29,32,34,1,0.0
2010-09-03,12,17,28,27,31,36,48,37,0.0
2010-09-10,4,17,32,27,34,39,47,13,0.0
2010-09-17,2,5,43,6,46,47,48,39,0.0
2010-09-24,9,22,30,25,31,39,42,19,0.0
2010-10-01,10,12,25,13,28,29,41,39,0.0
2010-10-08,3,4,8,5,13,22,33,32,0.0
2010-10-15,3,14,25,17,30,33,39,7,0.0
2010-10-22,12,15,20,19,28,29,39,14,0.0
2010-10-29,2,6,26,21,28,33,47,11,0.0
2010-11-05,7,10,30,24,35,36,39,3,0.0
2010-11-12,13,15,18,17,19,47,49,38,0.0
2010-11-19,4,13,29,25,36,40,48,24,0.0
2010-11-26,12,21,27,23,28,29,37,9,0.0
2010-12-03,1,10,26,13,43,46,49,31,0.0
2010-12-10,7,9,20,12,28,38,44,10,0.0
