PlayDate,No1,No2,No3,No4,No5,No6,Bonus
2020-05-09,26,27,31,39,40,46,47
2020-05-06,2,19,20,24,37,46,21
2020-05-02,5,8,11,26,28,41,34
2020-04-29,1,3,9,34,35,39,28
2020-04-25,23,31,34,35,37,45,18
2020-04-22,17,20,21,27,37,39,5
2020-04-18,6,8,10,11,21,22,39
2020-04-15,10,16,32,33,39,43,9
2020-04-11,5,26,27,31,37,43,15
2020-04-08,16,20,21,29,36,43,2
2020-04-04,2,3,6,8,14,36,16
2020-04-01,2,13,18,32,37,42,39
2020-03-28,4,9,10,21,26,34,6
2020-03-25,11,15,17,19,31,39,40
2020-03-21,8,14,23,26,31,37,49
2020-03-18,14,20,21,27,28,34,36
2020-03-14,15,17,26,28,35,46,45
2020-03-11,2,5,23,31,40,44,26
2020-03-07,3,11,29,33,44,48,18
2020-03-04,14,16,20,27,45,47,44
2020-02-29,3,12,37,42,45,47,34
2020-02-26,4,5,9,11,26,29,27
2020-02-22,2,10,20,21,39,48,13
2020-02-19,5,13,25,26,27,36,45
2020-02-15,4,5,20,28,32,35,37
2020-02-12,12,24,29,32,33,44,8
2020-02-08,7,8,25,33,36,49,47
2020-02-05,15,22,26,31,35,36,34
2020-02-01,2,3,20,22,48,49,27
2020-01-29,8,13,14,18,20,41,28
2020-01-25,1,3,4,34,45,49,39
2020-01-22,3,5,16,25,44,46,42
2020-01-18,3,4,31,39,41,46,27
2020-01-15,15,16,30,35,37,44,27
2020-01-11,1,16,26,39,46,47,13
2020-01-08,9,22,23,24,26,45,17
2020-01-04,9,12,23,34,40,47,8
2020-01-01,9,17,28,35,39,44,18
2019-12-28,3,15,21,30,33,46,26
2019-12-25,21,25,31,41,44,46,27
2019-12-21,3,7,10,14,37,38,2
2019-12-18,3,33,34,43,47,49,7
2019-12-14,2,9,18,27,29,37,17
2019-12-07,4,15,26,30,33,37,5
2019-12-04,4,20,21,37,38,46,43
2019-11-30,4,11,15,23,32,48,34
2019-11-27,1,2,13,25,26,31,22
2019-11-23,3,6,11,21,22,43,41
2019-11-20,5,10,15,18,43,49,16
2019-11-16,2,6,21,43,44,45,9
2019-11-13,6,8,16,28,32,44,14
2019-11-09,23,27,31,32,38,43,41
2019-11-06,24,26,29,32,33,39,10
2019-11-02,12,17,30,31,36,46,22
2019-10-30,1,6,15,21,24,33,47
2019-10-26,20,23,27,33,38,39,25
2019-10-23,2,9,15,37,46,49,40
2019-10-19,6,7,14,20,37,41,40
2019-10-16,8,25,27,28,29,32,4
2019-10-12,5,10,17,26,30,38,19
2019-10-09,2,27,33,40,43,47,22
2019-10-05,12,24,25,26,32,35,20
2019-10-02,3,16,22,34,36,41,10
2019-09-28,1,20,22,27,34,45,35
2019-09-25,5,11,22,23,28,33,47
2019-09-21,2,9,10,24,34,44,40
2019-09-18,20,35,37,38,39,40,33
2019-09-14,12,14,17,20,32,33,7
2019-09-11,10,12,20,22,33,43,38
2019-09-07,14,22,24,29,31,42,45
2019-09-04,6,14,18,25,46,47,32
2019-08-31,1,6,16,20,27,41,49
2019-08-28,5,8,9,16,30,41,37
2019-08-24,11,12,17,28,35,41,26
2019-08-21,3,22,35,37,44,46,47
2019-08-17,4,7,16,22,30,44,18
2019-08-14,9,12,14,25,36,48,37
2019-08-10,4,22,29,36,46,49,39
2019-08-07,1,10,16,31,35,47,2
2019-08-03,7,9,10,11,14,22,31
2019-07-31,2,8,10,25,46,48,4
2019-07-27,3,5,9,12,27,38,4
2019-07-24,5,14,21,36,43,49,25
2019-07-20,5,7,15,21,23,31,33
2019-07-17,8,11,12,13,20,30,37
2019-07-13,1,5,27,33,46,47,40
2019-07-10,11,21,31,36,44,46,4
2019-07-06,4,6,26,27,30,39,34
2019-07-03,28,30,35,37,45,48,22
2019-06-29,15,31,32,40,41,44,43
2019-06-26,11,17,19,24,29,42,36
2019-06-22,10,16,37,40,44,47,26
2019-06-19,1,26,32,43,45,49,15
2019-06-15,10,14,16,17,38,40,37
2019-06-12,6,20,22,27,39,48,37
2019-06-08,10,17,21,24,26,27,32
2019-06-05,4,23,25,36,47,48,46
2019-06-01,8,12,21,35,45,49,33
2019-05-29,3,9,17,30,31,38,35
2019-05-25,1,5,9,10,19,33,2
2019-05-22,4,10,12,19,31,40,38
2019-05-18,5,10,21,24,36,43,8
2019-05-15,5,16,23,30,41,42,47
2019-05-11,6,10,11,12,13,36,26
2019-05-08,3,9,16,26,32,38,33
2019-05-04,1,4,8,42,46,48,44
2019-05-01,7,20,33,41,43,45,16
2019-04-27,7,12,16,18,27,49,8
2019-04-24,1,18,21,29,30,48,4
2019-04-20,3,18,24,25,32,37,17
2019-04-17,18,21,22,25,26,32,44
2019-04-13,6,23,29,31,38,45,11
2019-04-10,11,21,22,31,37,44,36
2019-04-06,21,28,32,34,39,42,1
2019-04-03,4,8,16,22,47,48,1
2019-03-30,20,31,34,36,40,49,23
2019-03-27,1,3,6,21,22,46,44
2019-03-23,5,17,18,25,42,49,34
2019-03-20,8,19,23,30,38,49,22
2019-03-16,8,14,21,27,46,47,24
2019-03-13,11,31,38,39,42,48,6
2019-03-09,5,15,27,28,34,48,21
2019-03-06,4,23,33,37,44,46,25
2019-03-02,8,10,15,26,40,44,24
2019-02-27,2,6,21,42,43,48,14
2019-02-23,5,10,17,25,30,44,49
2019-02-20,5,18,21,34,35,37,10
2019-02-16,2,20,22,27,30,32,44
2019-02-13,20,28,34,36,40,47,25
