PlayDate,AP,N01,N02,N03,N04,N05,N06,N07,N08,N09,N10,N11,N12,N13,N14,N15,N16,N17,N18,N19,N20
2020-05-06,A,3,9,19,20,22,24,25,34,35,36,37,43,50,51,55,57,61,66,68,70
2020-05-05,P,1,6,15,16,26,28,29,31,39,43,44,45,52,56,57,58,59,64,68,69
2020-05-05,P,1,6,15,16,26,28,29,31,39,43,44,45,52,56,57,58,59,64,68,69
2020-05-05,A,5,6,7,8,15,23,24,26,28,36,38,39,40,42,48,56,57,59,63,66
2020-05-04,P,7,9,10,12,18,20,21,22,23,29,32,41,42,47,48,52,53,57,64,67
2020-05-04,A,4,7,9,14,19,21,24,26,28,32,36,39,41,44,47,52,53,55,59,65
2020-05-03,P,1,2,14,16,18,22,24,30,31,32,33,34,37,38,39,55,64,67,68,69
2020-05-02,P,1,2,6,9,10,13,20,22,26,27,37,40,41,48,52,57,58,62,63,66
2020-05-02,A,1,7,10,13,15,18,20,22,23,28,37,38,40,43,48,57,59,60,63,68
2020-05-01,P,1,5,6,9,14,15,16,22,23,33,34,37,39,40,41,46,50,52,64,66
2020-05-01,A,7,8,14,15,20,21,25,32,33,34,39,43,49,51,52,57,59,60,66,69
2020-04-30,P,4,10,15,25,26,27,29,34,37,38,39,43,44,45,52,54,64,67,69,70
2020-04-30,A,3,5,9,12,19,27,36,40,42,47,48,55,56,58,59,61,66,68,69,70
2020-04-29,P,3,7,10,15,17,20,22,24,27,28,36,37,38,47,52,54,57,63,68,69
2020-04-29,A,5,8,11,13,15,16,31,32,34,35,38,39,41,42,43,48,50,56,61,64
2020-04-28,P,2,5,8,11,13,16,19,28,31,36,39,41,42,43,52,53,62,66,67,68
2020-04-28,A,1,4,7,8,9,13,16,19,20,26,27,28,37,40,46,50,54,56,67,70
2020-04-27,P,2,3,8,9,10,14,26,29,31,32,35,44,46,47,51,52,53,58,65,70
2020-04-27,A,3,5,7,9,15,19,20,31,37,38,39,40,48,49,52,54,59,60,66,69
2020-04-26,P,3,10,24,26,27,30,31,33,41,42,43,45,46,48,50,52,54,58,60,65
2020-04-26,A,6,8,11,12,15,17,19,24,25,26,27,34,39,41,49,55,58,60,66,68
2020-04-25,P,6,10,18,20,25,28,34,35,39,40,44,47,51,55,58,59,63,64,67,69
2020-04-25,A,2,9,13,15,17,23,24,31,33,36,38,39,42,44,45,47,54,59,62,66
2020-04-24,P,3,7,11,12,13,15,18,19,22,23,26,28,29,33,37,50,57,61,63,70
2020-04-24,A,2,4,7,8,11,12,15,23,28,31,38,45,47,50,54,62,65,66,69,70
2020-04-23,P,3,6,8,10,16,21,23,28,32,34,35,36,40,50,52,53,55,57,63,64
2020-04-23,A,2,6,7,10,17,20,22,28,31,36,38,39,41,47,49,51,56,57,58,70
2020-04-22,P,1,6,8,15,16,24,31,32,33,34,40,41,46,49,56,57,61,64,65,68
2020-04-22,A,3,10,18,19,23,24,31,33,36,37,38,45,49,54,56,59,60,61,62,64
2020-04-21,P,4,6,7,12,13,15,20,25,26,31,32,34,36,40,41,45,49,51,53,56
2020-04-21,A,4,5,8,12,14,22,24,25,27,38,41,42,45,51,52,58,60,67,68,69
2020-04-20,P,1,4,5,6,7,11,12,16,19,32,33,35,36,39,42,51,57,60,62,66
2020-04-20,A,5,13,14,19,20,26,38,40,41,42,46,48,51,52,56,57,58,63,66,67
2020-04-19,P,4,8,12,17,18,23,24,26,32,34,37,40,42,45,47,52,53,55,64,70
2020-04-19,A,4,8,9,13,15,16,19,21,28,30,32,34,42,48,55,58,62,65,66,68
2020-04-18,P,5,6,7,9,19,26,34,35,37,38,45,48,51,52,53,56,64,65,68,69
2020-04-18,A,1,10,15,20,23,26,28,30,31,34,38,39,41,45,47,57,60,62,67,70
2020-04-17,P,1,3,4,5,21,22,23,28,30,40,47,52,53,54,56,60,63,64,69,70
2020-04-17,A,5,8,12,20,24,28,31,35,36,37,39,42,43,44,46,47,48,53,54,58
2020-04-16,P,4,6,7,12,14,18,19,20,26,28,34,35,36,38,39,40,42,65,67,68
2020-04-16,A,1,10,13,24,27,28,32,35,37,38,39,44,49,50,54,57,65,66,67,69
2020-04-15,P,2,3,4,5,7,16,20,23,25,27,30,32,37,38,45,46,58,60,66,67
2020-04-15,A,1,2,7,12,13,25,29,30,32,34,36,38,44,46,47,50,53,56,58,70
2020-04-14,P,3,8,9,11,13,32,33,34,37,38,39,45,46,50,53,55,56,58,63,64
2020-04-14,A,2,5,6,8,12,17,23,27,30,31,34,36,44,50,51,54,55,56,57,60
2020-04-13,P,2,4,6,12,14,20,21,26,34,37,38,41,52,53,54,55,56,58,64,66
2020-04-13,A,5,6,8,10,11,15,19,25,27,32,34,35,37,42,47,48,51,52,58,69
2020-04-12,P,2,3,4,5,6,18,19,20,28,35,40,41,45,49,52,58,61,62,67,70
2020-04-12,A,3,6,8,13,15,18,21,23,24,27,34,35,36,39,43,45,46,54,56,57
2020-04-11,P,1,9,23,28,29,35,36,37,38,39,40,42,44,47,51,57,59,63,65,70
2020-04-11,A,1,3,7,8,12,13,20,21,25,26,28,33,37,43,50,59,60,61,69,70
2020-04-10,P,2,4,8,11,13,18,23,25,27,28,30,34,35,39,41,44,51,56,64,69
2020-04-10,A,3,6,9,10,16,17,34,36,39,42,43,45,46,50,53,60,66,67,69,70
2020-04-09,P,1,5,12,20,23,24,32,33,34,38,40,44,46,47,49,53,56,65,66,67
2020-04-09,A,3,4,7,14,16,18,24,25,26,27,37,43,44,49,50,56,58,59,61,67
2020-04-08,P,1,8,9,13,18,23,26,28,30,31,36,38,43,46,49,51,52,60,62,69
2020-04-08,A,1,3,9,10,24,28,31,34,37,38,39,47,49,52,55,58,60,63,66,70
2020-04-07,P,1,4,8,13,15,25,27,28,35,45,48,49,50,51,54,58,62,67,68,70
2020-04-07,A,1,3,5,16,18,22,26,27,31,41,48,51,52,53,56,58,60,62,63,68
2020-04-06,P,2,3,8,13,14,20,31,34,37,40,47,51,53,55,57,58,62,66,67,68
2020-04-06,A,1,3,7,9,10,11,26,27,28,31,33,36,37,39,44,53,62,66,68,69
2020-04-05,P,6,10,16,19,24,28,33,34,38,40,41,44,46,48,51,53,56,58,59,63
2020-04-05,A,6,7,13,19,21,24,25,27,33,39,40,41,42,46,51,55,57,58,69,70
2020-04-04,P,2,3,6,8,12,15,18,20,21,26,34,35,47,48,51,53,54,56,57,69
2020-04-04,A,8,10,16,17,19,24,29,33,34,38,39,42,45,47,51,57,62,65,67,70
2020-04-03,P,1,2,3,4,5,6,7,9,10,21,24,27,44,45,54,55,56,63,66,67
2020-04-03,A,1,6,16,17,19,20,21,32,34,35,37,39,43,45,48,51,60,62,66,68
2020-04-02,P,6,11,15,18,24,31,32,33,35,36,42,45,46,47,51,52,54,62,63,64
2020-04-02,A,4,9,12,17,20,21,23,30,31,35,39,40,50,52,55,56,59,60,62,69
2020-04-01,P,5,8,10,19,20,27,28,29,32,34,36,40,41,42,51,59,60,64,67,68
2020-04-01,A,6,12,13,19,20,23,26,35,38,39,43,44,48,55,58,59,61,63,65,70
2020-03-31,P,9,12,17,20,23,28,30,32,34,37,38,39,41,48,56,57,61,67,68,70
2020-03-31,A,3,11,13,14,23,25,26,27,28,32,36,37,43,45,47,55,61,63,64,70
2020-03-30,P,11,18,21,27,30,32,36,37,41,46,49,55,56,60,61,64,65,67,68,69
2020-03-30,A,1,3,5,18,19,22,27,29,30,32,40,42,43,45,52,55,56,57,59,60
2020-03-29,P,3,5,6,12,16,20,24,28,29,38,42,43,45,46,47,58,59,60,64,66
2020-03-29,A,5,8,9,10,13,14,22,34,35,40,41,43,44,49,50,51,55,57,62,66
2020-03-28,P,1,7,17,20,21,32,35,37,38,40,42,46,47,50,54,55,56,59,61,62
2020-03-28,A,5,14,15,16,18,23,24,25,28,30,31,35,39,43,58,59,61,66,67,68
2020-03-27,P,1,3,5,6,10,13,14,19,23,28,31,33,39,49,51,58,62,63,68,69
2020-03-27,A,1,3,5,6,10,13,14,19,23,28,31,33,39,49,51,58,62,63,68,69
2020-03-26,P,1,2,4,5,7,23,24,26,27,31,32,35,43,45,48,51,55,56,60,66
2020-03-26,A,1,9,11,14,17,20,27,31,33,40,43,48,50,53,55,56,57,59,60,67
2020-03-25,P,3,4,6,8,10,11,17,27,30,44,45,48,54,55,57,59,61,65,66,67
2020-03-25,A,4,9,11,12,14,27,28,31,37,40,42,44,46,49,52,58,60,65,68,70
2020-03-24,P,3,4,8,10,12,14,29,31,33,34,35,45,48,49,55,57,59,60,62,66
2020-03-24,A,1,4,8,9,10,17,18,22,27,32,35,42,44,46,50,51,58,60,69,70
2020-03-23,P,3,4,14,16,18,25,29,30,31,32,38,44,45,48,50,53,59,63,67,70
2020-03-23,A,4,9,11,12,13,17,20,22,28,29,33,34,38,39,44,54,55,56,63,66
2020-03-22,P,1,4,5,7,15,22,28,31,33,36,41,42,45,46,54,55,59,65,66,67
2020-03-22,A,2,5,12,16,20,22,23,27,29,37,38,42,43,46,48,49,52,56,60,65
2020-03-21,P,1,4,9,15,17,19,20,21,23,29,32,33,34,39,49,50,51,54,60,68
2020-03-21,A,12,13,20,23,25,26,29,31,33,38,43,45,46,51,54,56,59,61,64,70
2020-03-20,P,2,9,13,17,18,23,24,26,28,30,38,46,55,56,57,58,59,64,67,69
2020-03-20,A,5,8,12,25,27,28,34,35,38,40,45,47,48,50,51,52,57,60,61,68
2020-03-19,P,2,3,5,6,11,16,17,29,32,36,39,43,44,46,50,52,60,65,66,68
2020-03-19,A,1,4,5,6,7,9,10,13,16,20,22,23,28,29,33,40,42,46,49,70
2020-03-18,P,5,7,12,15,26,32,35,36,40,48,49,51,52,54,56,59,62,63,65,67
2020-03-18,A,1,7,10,13,14,18,20,23,30,32,36,37,39,41,47,50,60,65,68,70
2020-03-17,P,4,8,9,10,11,14,18,23,25,31,33,38,39,40,44,47,55,58,65,69
2020-03-17,A,6,15,19,22,24,26,28,29,30,34,35,38,40,44,48,49,53,58,59,60
2020-03-16,P,5,8,9,11,12,16,17,19,20,32,35,36,53,58,59,60,61,65,66,68
2020-03-16,A,2,3,4,9,14,18,21,24,26,28,31,36,43,45,51,53,54,64,65,66
2020-03-15,P,2,7,9,13,18,22,26,29,31,34,38,43,46,51,55,60,62,64,67,68
2020-03-15,A,1,13,14,16,17,18,20,21,22,23,26,28,34,35,49,50,54,57,60,61
2020-03-14,P,1,6,9,14,23,24,32,42,43,44,45,48,51,52,54,58,62,65,69,70
2020-03-14,A,8,12,14,15,17,23,26,28,37,39,40,41,43,44,51,56,57,64,65,68
2020-03-13,P,1,4,6,7,9,10,12,17,24,26,27,31,32,35,40,47,52,53,57,64
2020-03-13,A,1,2,3,9,10,11,15,18,20,27,28,30,31,41,46,48,51,56,64,69
2020-03-12,P,2,5,8,12,21,22,26,31,32,40,46,51,52,54,57,61,65,66,67,70
2020-03-12,A,3,8,9,14,15,16,27,29,33,34,47,52,53,54,55,56,58,65,66,70
2020-03-11,P,1,2,3,5,12,25,26,28,31,37,39,40,41,44,46,54,58,62,65,66
2020-03-11,A,1,3,11,20,22,24,25,28,32,33,34,38,42,44,50,54,56,58,61,63
2020-03-10,P,2,8,9,10,12,14,25,26,29,31,33,35,39,46,52,54,55,60,63,64
2020-03-10,A,4,8,12,19,21,22,23,24,29,31,33,36,37,43,45,47,50,53,54,57
2020-03-09,P,5,6,8,9,11,15,18,23,24,26,28,30,35,36,43,44,46,49,53,61
2020-03-09,A,2,8,9,14,21,22,23,27,28,29,36,37,39,42,44,46,55,61,68,70
2020-03-08,P,4,12,17,18,19,22,27,28,30,31,34,37,45,46,53,54,56,58,59,67
2020-03-08,A,10,15,16,18,19,20,24,25,29,30,34,35,36,37,53,56,59,61,66,69
2020-03-07,P,2,3,5,11,13,16,17,21,23,30,32,34,38,45,48,54,57,58,62,70
2020-03-07,A,2,4,7,8,9,24,26,27,28,29,32,33,35,37,40,45,56,58,60,64
2020-03-06,P,6,8,12,13,17,20,29,31,34,35,40,41,44,51,54,57,58,62,65,66
2020-03-06,A,1,2,7,8,12,13,15,16,17,22,27,33,38,41,58,61,62,64,65,66
2020-03-05,P,2,5,9,12,13,15,16,19,28,34,37,38,40,42,44,48,53,55,57,58
2020-03-05,A,6,16,17,18,21,27,28,29,32,34,40,44,49,51,54,57,60,66,67,68
2020-03-04,P,4,5,11,14,17,22,23,26,34,39,40,42,46,49,52,58,61,64,65,68
2020-03-04,A,3,8,12,14,22,23,31,35,37,40,41,46,47,54,58,59,62,65,66,69
2020-03-03,P,1,4,12,14,16,17,18,22,25,28,29,32,39,40,42,49,57,59,60,61
2020-03-03,A,6,7,9,11,15,16,21,22,23,29,35,36,37,40,41,45,58,59,61,70
2020-03-02,P,1,3,6,7,8,9,21,24,26,29,30,32,33,36,43,44,50,53,60,67
2020-03-02,A,1,4,8,14,16,20,22,28,32,34,35,38,45,55,56,59,61,65,66,70
2020-03-01,P,1,2,10,12,13,15,17,26,27,32,34,37,39,41,46,54,59,64,65,67
2020-03-01,A,3,8,11,14,17,20,32,34,39,41,44,51,53,54,55,58,59,60,62,68
2020-02-29,P,2,7,11,12,17,21,24,26,29,31,36,37,40,45,49,51,62,63,66,67
2020-02-29,A,3,6,7,8,10,12,23,28,30,31,32,42,50,51,54,58,59,61,64,65
2020-02-28,P,2,5,9,10,11,14,16,17,18,19,22,28,29,31,33,36,39,41,53,57
2020-02-28,A,4,9,11,17,18,19,22,23,24,25,32,34,35,39,41,44,49,59,61,63
2020-02-27,P,5,7,9,10,13,16,17,20,21,29,32,33,40,47,48,62,64,67,69,70
2020-02-27,A,4,14,20,21,23,25,30,31,33,35,36,37,54,56,58,61,62,63,69,70
2020-02-26,P,1,4,9,20,21,27,30,32,34,35,38,43,44,46,48,53,56,57,65,69
2020-02-26,A,3,5,6,9,10,12,17,22,24,26,33,34,36,39,42,48,50,56,58,68
2020-02-25,P,1,2,8,11,13,24,27,29,32,37,39,42,43,51,52,53,58,61,64,66
2020-02-25,A,4,17,22,25,28,29,30,33,34,35,40,43,48,54,55,58,63,64,67,69
2020-02-24,P,5,10,13,16,29,35,36,37,38,39,41,42,49,54,55,57,62,64,68,69
2020-02-24,A,1,3,5,6,11,22,25,29,34,43,45,52,53,55,57,58,59,62,64,70
2020-02-23,P,1,4,6,13,16,18,25,30,37,40,48,49,51,54,57,58,59,60,61,62
2020-02-23,A,10,11,17,21,22,23,24,25,28,38,41,42,45,46,47,55,58,63,66,67
2020-02-22,P,8,10,14,15,28,30,31,33,37,42,45,47,51,54,56,59,60,62,67,70
2020-02-22,A,2,10,11,18,21,22,24,25,27,29,31,36,39,40,50,54,59,60,64,69
2020-02-21,P,1,3,4,13,16,24,25,27,32,33,34,35,36,43,49,51,52,59,67,70
2020-02-21,A,3,12,17,18,19,22,23,33,35,36,40,42,43,54,56,60,63,65,67,68
2020-02-20,P,1,4,7,11,13,14,17,18,31,33,36,37,38,39,43,48,49,55,63,70
2020-02-20,A,6,7,10,11,20,22,33,34,38,39,40,49,52,57,60,62,65,67,68,70
2020-02-19,P,1,3,5,6,12,15,21,26,30,36,37,42,43,45,47,58,59,61,62,64
2020-02-19,A,12,19,20,21,22,27,28,31,32,34,40,41,43,47,51,57,60,62,65,70
2020-02-18,P,3,7,8,10,11,13,17,20,26,27,30,31,32,33,35,37,53,57,61,63
2020-02-18,A,2,4,16,22,23,24,25,26,32,34,37,40,42,44,45,57,61,67,68,70
2020-02-17,P,5,10,12,15,16,29,35,36,37,43,45,48,50,56,57,59,62,66,67,69
2020-02-17,A,2,5,8,9,15,16,17,20,21,28,29,31,35,41,46,50,52,53,58,66
2020-02-16,P,3,10,23,25,27,29,30,32,33,36,37,47,49,53,59,60,61,64,67,69
2020-02-16,A,4,11,12,13,17,19,20,27,28,29,31,37,40,45,49,60,61,62,65,68
2020-02-15,P,2,4,11,12,27,28,34,35,42,43,47,50,53,54,55,60,61,63,66,67
2020-02-15,A,5,7,9,14,18,24,25,26,33,37,40,42,51,52,55,59,60,67,69,70
2020-02-14,P,7,8,10,11,18,20,27,32,33,37,38,45,55,58,60,62,63,65,67,68
2020-02-14,A,1,2,10,13,16,18,25,26,28,36,40,48,52,54,59,60,61,64,65,69
2020-02-13,P,4,11,17,19,20,22,25,27,32,35,41,42,44,49,51,54,55,62,67,68
2020-02-13,A,2,6,8,9,12,29,31,32,35,36,39,42,45,49,53,56,62,64,68,69
2020-02-12,P,1,2,8,11,13,14,22,23,27,44,47,53,54,55,56,57,59,62,63,66
2020-02-12,A,4,7,9,16,17,18,19,27,28,34,35,36,37,51,54,55,57,62,63,64
2020-02-11,P,2,9,12,17,23,24,29,30,35,40,41,45,47,54,59,60,61,63,66,67
2020-02-11,A,4,13,20,24,26,36,39,42,44,47,51,53,54,55,57,59,60,61,62,66
2020-02-10,P,2,3,7,8,16,29,31,32,34,38,40,45,46,48,50,53,55,62,69,70
2020-02-10,A,5,6,7,8,10,16,22,28,29,32,33,34,36,43,51,54,58,62,63,69
2020-02-09,P,4,8,11,14,17,23,31,39,42,43,48,49,50,51,57,59,62,65,67,69
2020-02-09,A,1,3,4,5,7,10,11,17,20,24,26,28,39,44,45,48,52,56,61,66
2020-02-08,P,2,3,6,11,13,16,19,21,26,29,30,31,37,41,45,46,57,58,59,70
2020-02-08,A,1,12,14,23,24,32,34,41,42,46,47,49,51,57,60,61,62,65,66,68
2020-02-07,P,4,7,10,11,17,19,25,26,28,30,32,33,34,41,43,46,54,57,64,66
2020-02-07,A,12,18,20,22,23,27,28,29,32,38,40,50,51,52,56,59,60,65,68,70
2020-02-06,P,8,12,17,22,25,26,27,28,30,31,35,39,40,44,48,56,58,60,67,68
2020-02-06,A,4,5,10,12,19,23,33,36,38,42,45,46,47,48,49,52,53,57,62,68
2020-02-05,P,1,7,8,10,18,23,25,26,29,34,35,36,37,39,40,52,54,56,65,68
2020-02-05,A,4,5,7,19,24,28,33,34,35,37,40,44,45,47,54,55,56,57,62,66
2020-02-04,P,6,7,11,14,15,18,20,21,24,26,31,33,35,44,50,56,58,59,62,69
2020-02-04,A,4,5,6,10,11,16,17,18,23,26,32,37,48,50,53,56,58,59,66,67
2020-02-03,P,3,4,9,12,13,20,24,31,32,34,38,40,42,46,48,54,58,59,62,65
2020-02-03,A,6,7,12,17,19,29,30,34,36,37,39,43,44,47,50,51,59,60,62,66
2020-02-02,P,3,7,13,15,17,21,24,27,28,35,37,39,40,53,58,60,61,64,65,70
2020-02-02,A,4,10,14,15,19,20,24,27,31,32,34,36,49,51,52,53,54,59,63,66
2020-02-01,P,1,12,14,17,21,26,29,31,33,40,41,47,55,57,58,59,60,62,64,66
2020-02-01,A,7,13,14,15,22,33,34,36,37,41,42,44,46,48,50,51,55,56,57,63
2020-01-31,P,2,3,7,10,13,16,24,26,34,36,37,38,39,40,41,48,53,56,61,66
2020-01-31,A,1,6,7,10,13,14,21,25,27,33,34,36,37,38,43,54,56,63,64,70
2020-01-30,P,4,15,21,24,32,39,40,41,43,47,48,50,52,54,57,58,59,60,62,65
2020-01-30,A,2,3,5,16,17,20,23,25,30,31,33,39,43,46,49,50,51,52,57,60
2020-01-29,P,6,8,9,10,15,17,21,22,23,24,26,29,41,43,48,49,50,54,62,69
2020-01-29,A,3,7,14,17,25,34,35,36,39,40,48,50,52,55,56,60,62,63,65,69
2020-01-28,P,1,4,12,16,18,22,25,27,31,32,33,44,54,59,60,62,65,67,69,70
2020-01-28,A,2,5,7,9,15,21,32,33,34,36,39,46,50,51,53,60,61,64,65,66
2020-01-27,P,1,2,4,6,8,10,13,15,20,21,28,30,32,46,54,59,61,62,66,69
2020-01-27,A,2,4,5,6,8,9,11,12,22,23,27,32,34,39,42,48,55,57,64,69
2020-01-26,P,3,6,8,14,17,23,28,31,36,39,41,42,47,52,55,57,58,60,65,70
2020-01-26,A,3,7,8,17,22,25,27,28,32,38,39,44,45,51,56,59,60,62,63,68
2020-01-25,P,4,6,7,12,13,25,31,32,36,37,38,43,46,51,52,53,56,61,63,68
2020-01-25,A,2,10,15,16,17,18,19,22,34,36,41,42,50,53,56,57,59,62,67,70
2020-01-24,P,4,10,11,12,19,21,23,24,26,31,32,34,35,44,59,60,62,63,65,69
